Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf



CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"121866","NJ16NE 57","Lower Mains, Findrassie","Cropmark(S) (Period Unknown), Enclosure(S) (Period Unassigned), Pit(S) (Period Unassigned), Ring Ditch(S) (Period Unassigned)","319350","865520","MORAY","MORAYSHIRE","SPYNIE","NJ 1935 6552","http://canmore.org.uk/site/121866",
"122071","NJ55SW 11","Knock","Field System (Period Unassigned)(Possible)","354510","853280","MORAY","BANFFSHIRE","GRANGE","NJ 5451 5328","http://canmore.org.uk/site/122071",
"123483","NJ35SW 26","Clachnayell","Farmstead (Period Unassigned)","333450","850180","MORAY","BANFFSHIRE","BOHARM","NJ 3345 5018","http://canmore.org.uk/site/123483",
"123484","NJ35SW 27","Cummingston","Farmstead (Period Unassigned)","334050","850740","MORAY","BANFFSHIRE","BOHARM","NJ 3405 5074","http://canmore.org.uk/site/123484",
"123485","NJ35SW 28","Clachnayell","Farmstead (Period Unassigned)(Possible)","333120","850250","MORAY","BANFFSHIRE","BOHARM","NJ 3312 5025","http://canmore.org.uk/site/123485",
"123488","NJ34NE 17","Hayston","Farmstead (Period Unassigned)","338910","848660","MORAY","BANFFSHIRE","KEITH","NJ 3891 4866","http://canmore.org.uk/site/123488",
"123489","NJ34NE 18","Moor Of Auchanacie","Building(S) (Period Unassigned), Enclosure (Period Unassigned)","338780","848840","MORAY","BANFFSHIRE","KEITH","NJ 3878 4884","http://canmore.org.uk/site/123489",
"123490","NJ34NE 19","Jocksleys","Farmstead (Period Unassigned)(Possible)","339610","849200","MORAY","BANFFSHIRE","KEITH","NJ 3961 4920","http://canmore.org.uk/site/123490",
"123491","NJ34NE 20","Rivehillock","Farmstead (Period Unassigned)","339830","848580","MORAY","BANFFSHIRE","KEITH","NJ 3983 4858","http://canmore.org.uk/site/123491",
"123493","NJ34NE 21","Upper Broadfield","Dam (Period Unassigned), Farmstead (Period Unassigned), Lade (Period Unassigned), Watermill (Period Unassigned)","339360","848480","MORAY","BANFFSHIRE","KEITH","NJ 3936 4848","http://canmore.org.uk/site/123493",
"123494","NJ34NE 22","Jock's Burn","Enclosure (Period Unassigned), Farmstead (Period Unassigned)","339450","848730","MORAY","BANFFSHIRE","KEITH","NJ 3945 4873","http://canmore.org.uk/site/123494",
"134302","NO39SW 23","Glen Girnock","Farmstead (Period Unassigned)","331780","793900","ABERDEENSHIRE","ABERDEENSHIRE","CRATHIE AND BRAEMAR","NO 3178 9390","http://canmore.org.uk/site/134302",
"138408","NJ34NW 15","Duncan Burn","Building(S) (Period Unassigned)","332310","847990","MORAY","BANFFSHIRE","BOHARM","NJ 3231 4799","http://canmore.org.uk/site/138408",
"139312","NS56NE 311","Glasgow, Ingram Street, Assembly Rooms","Assembly Rooms (18th Century)","259270","665280","GLASGOW, CITY OF","LANARKSHIRE","GLASGOW (CITY OF GLASGOW)","NS 5927 6528","http://canmore.org.uk/site/139312",
"143002","NS06SE 122","Bute, Rothesay, Stuart Street, Bute Museum","Museum (20th Century)","208802","664514","ARGYLL AND BUTE","BUTESHIRE","ROTHESAY","NS 08802 64514","http://canmore.org.uk/site/143002",
